Date,open,high,low,close,volume,dividends,stock splits
2007-12-03,109.77908324635172,111.16040502204521,109.05206945001827,110.54244995117188,942970,0.0,0.0
2007-12-04,111.41489878567783,116.90385686622044,110.36073067326058,111.96015930175781,3720473,0.0,0.0
2007-12-05,111.96010821956575,112.68712190930319,111.08769401055054,112.0328140258789,1500192,0.0,0.0
2007-12-06,112.6144816843951,114.86822987239808,110.94235809891127,111.92382049560547,1236174,0.0,0.0
2007-12-07,111.96016341336616,112.6871774615049,109.0521072208112,111.45125579833984,968801,0.0,0.0
2007-12-10,110.06990193974217,111.9601425500051,109.12479272796263,109.851806640625,414684,0.0,0.0
2007-12-11,111.96013150117096,111.96013150117096,108.97937031607218,109.48828887939453,1005010,0.0,0.0
2007-12-12,109.05206945558258,110.46974413983511,107.77979531193411,109.77908325195312,772183,0.0,0.0
2007-12-13,109.05206639763664,109.41557328562875,105.05349062972329,106.10765838623047,1038268,0.0,0.0
2007-12-14,106.90735006773116,110.14255830760189,105.41696999737474,108.72488403320312,1201223,0.0,0.0
2007-12-17,108.7249173774088,110.10623917745818,105.41700232709539,106.65292358398438,1491850,0.0,0.0
2007-12-18,109.74272558578716,109.74272558578716,104.6899821387335,105.9259033203125,678636,0.0,0.0
2007-12-19,106.87104695064792,107.23455391306508,103.9993441662227,104.90811157226562,1351941,0.0,0.0
2007-12-20,105.59874350920894,106.07129799290881,104.50822292219475,105.08983612060547,787361,0.0,0.0
2007-12-24,105.816857994177,108.61585439371979,104.76269023088555,105.23524475097656,1230169,0.0,0.0
2007-12-26,105.41700694235641,106.50752770382907,104.9444523830586,106.03497314453125,453036,0.0,0.0
2007-12-27,106.03496366464196,107.8161451971334,105.41699751771542,106.10765838623047,1230592,0.0,0.0
2007-12-28,106.14401767951547,108.97936713909382,105.41700385979277,108.36141204833984,1036458,0.0,0.0
2007-12-31,109.05207537685992,109.70638339178076,106.25306767151353,106.90738677978516,1424351,0.0,0.0
2008-01-01,106.50750636364934,108.32504060193688,106.50750636364934,107.99788665771484,509796,0.0,0.0
2008-01-02,107.96154344175788,108.32505032203316,105.08984130625309,107.56168365478516,928661,0.0,0.0
2008-01-03,107.59804119241649,107.59804119241649,104.9807871044501,105.41699981689453,1935607,0.0,0.0
2008-01-04,105.78054402823074,106.72566450969673,103.81760831648076,104.21746826171875,1612533,0.0,0.0
2008-01-07,104.32649472707426,104.94446097987151,102.65436053716859,103.63583374023438,1183489,0.0,0.0
2008-01-08,102.50894052209988,105.05348869108818,102.50894052209988,103.23595428466797,2091936,0.0,0.0
2008-01-09,103.23594433197793,103.74485169804332,99.67358167617165,103.16323852539062,1172279,0.0,0.0
2008-01-10,103.81758034291119,105.4170085995444,101.85464516007262,102.76341247558594,942236,0.0,0.0
2008-01-11,102.50896513033628,102.7634244456603,99.63726229748313,100.727783203125,1772295,0.0,0.0
2008-01-14,100.72777237135206,101.05492638919361,98.54673079460687,100.36426544189453,2479035,0.0,0.0
2008-01-15,100.36428131761015,101.05494237415864,97.9651329850207,99.7463150024414,1639961,0.0,0.0
2008-01-16,98.87388329096206,100.80046555009999,98.18322235429098,99.41914367675781,1618766,0.0,0.0
2008-01-17,98.87388698719822,99.45550030579318,94.58450956259414,95.3115234375,1935824,0.0,0.0
2008-01-18,94.51177932364278,97.01997432548515,94.03922486436397,96.1475601196289,1402517,0.0,0.0
2008-01-21,96.69285101177276,96.69285101177276,79.24451699461075,92.54887390136719,1158171,0.0,0.0
2008-01-22,79.2445018382318,94.51179118321224,79.2445018382318,84.62440490722656,2506822,0.0,0.0
2008-01-23,88.62299602726377,90.84038510696686,79.9715294583441,85.56953430175781,2591594,0.0,0.0
2008-01-24,85.78763030943152,89.34999911805653,82.91592795418421,84.26090240478516,1955415,0.0,0.0
2008-01-25,87.24167423207622,88.55030156422788,83.60660447240639,85.24238586425781,730177,0.0,0.0
2008-01-28,85.24237419539006,86.1147885996151,81.93445894824202,83.82469940185547,2696128,0.0,0.0
2008-01-29,86.15115330417528,86.15115330417528,83.60660447240639,85.24238586425781,2099506,0.0,0.0
2008-01-30,86.3692402691148,86.98720087983769,84.33359944319525,86.51464080810547,1614905,0.0,0.0
2008-01-31,85.7876455492608,89.4227152759244,85.20603217432414,87.78693389892578,1680927,0.0,0.0
2008-02-01,87.24166954267432,87.24166954267432,82.95228634749097,86.36925506591797,428191,0.0,0.0
2008-02-04,86.514649914157,90.87673310310609,86.514649914157,90.14971923828125,600203,0.0,0.0
2008-02-05,90.14972795218301,90.87674188728126,88.36854602986276,89.35001373291016,749841,0.0,0.0
2008-02-06,88.1504295403031,88.1504295403031,84.33360681793945,87.27801513671875,474679,0.0,0.0
2008-02-07,87.96869947791895,90.51324863637115,85.09699621776511,85.67860412597656,773338,0.0,0.0
2008-02-08,86.15114235724832,87.05990968169186,82.80687971263117,84.87886810302734,1195296,0.0,0.0
2008-02-11,84.87887360720485,85.60588751390469,82.55243132443577,83.71565246582031,1165322,0.0,0.0
2008-02-12,84.33359990659812,84.40630017649293,80.73488385339176,82.18891143798828,2900090,0.0,0.0
2008-02-13,80.88029763217648,85.13332790394898,80.88029763217648,84.6971206665039,707402,0.0,0.0
2008-02-14,81.47054731431881,89.39027883283882,81.47054731431881,85.39374542236328,840269,1.0,0.0
2008-02-15,85.87040531757167,85.87040531757167,83.96380475645222,85.027099609375,1220073,0.0,0.0
2008-02-18,85.06376799450075,85.68707896862418,83.5971513049404,84.66044616699219,335027,0.0,0.0
2008-02-19,84.33046571139631,85.7237527855679,84.33046571139631,85.06377410888672,1888428,0.0,0.0
2008-02-20,85.43041219898407,85.72373662161118,83.52381184395493,85.10042572021484,1429025,0.0,0.0
2008-02-21,85.43041110982364,88.36364410930256,85.21041639698353,87.92366027832031,683517,0.0,0.0
2008-02-22,85.43040948617111,88.1803153709191,85.43040948617111,86.5670394897461,572497,0.0,0.0
2008-02-25,86.93371839852959,90.71025241477633,85.83375573095493,89.97694396972656,396865,0.0,0.0
2008-02-26,90.9302152308022,92.9834803932477,89.13361240968551,90.19690704345703,1336540,0.0,0.0
2008-02-27,90.19693030456419,91.59021733877773,88.87697298905685,90.01360321044922,882969,0.0,0.0
2008-02-28,89.46360961268483,90.19691788819866,87.52034156363361,88.87696075439453,1396396,0.0,0.0
2008-02-29,88.80363139390101,89.64693703298737,84.51377908426825,88.69363403320312,1699206,0.0,0.0
2008-03-03,84.33045784375115,89.79360265748865,84.33045784375115,87.33702087402344,1062188,0.0,0.0
2008-03-04,87.33701144054534,88.8036279402848,86.64037084104828,87.92366027832031,1071276,0.0,0.0
2008-03-05,87.30037375251344,90.78358891164413,87.04371131765998,88.7669906616211,880946,0.0,0.0
2008-03-07,86.5303871380126,89.13363407368827,84.36712969744181,86.89704132080078,1958384,0.0,0.0
2008-03-10,86.53037684983647,89.42694231159156,85.210419710858,88.69363403320312,575136,0.0,0.0
2008-03-11,88.80365092345241,92.61685816648543,88.07034248379598,91.92021179199219,1292687,0.0,0.0
2008-03-12,91.6635370537744,93.82679429036416,90.38024753502157,90.7835693359375,1024849,0.0,0.0
2008-03-13,88.033660627648,89.46360952562921,87.33701440976888,88.5469741821289,904427,0.0,0.0
2008-03-14,87.99699480081715,88.40031659820019,86.38371880068146,87.9603271484375,1311805,0.0,0.0
2008-03-17,86.23704742675763,87.96032066226013,86.23704742675763,86.5670394897461,1457582,0.0,0.0
2008-03-18,86.53038283097945,87.99699948913164,85.79707450190335,87.33702087402344,2178566,0.0,0.0
2008-03-19,87.99701377993725,90.2702688503124,86.89705110768803,89.46363067626953,3446153,0.0,0.0
2008-03-24,90.19692850193509,91.66354522554379,88.7303117783264,91.26022338867188,908428,0.0,0.0
2008-03-25,91.66354522554379,94.89009754172389,90.23359615790483,91.26022338867188,1521329,0.0,0.0
2008-03-26,91.26020929711761,91.66353107171233,89.13361985201225,89.86692810058594,857206,0.0,0.0
2008-03-27,90.52691321060442,91.62687573124214,88.76697765334303,90.08692932128906,2511673,0.0,0.0
2008-03-28,90.93025327000052,93.79015751598082,89.46363628177471,90.71025848388672,602934,0.0,0.0
2008-03-31,90.9302483646751,91.59022709271345,87.52036293205988,88.7669906616211,1827715,0.0,0.0
2008-04-01,89.46360908641563,91.29687976441595,87.3003519242545,88.40031433105469,813613,0.0,0.0
2008-04-02,89.46361839674145,91.26022161027194,87.48368809633239,88.32698822021484,401662,0.0,0.0
2008-04-03,87.99698839685777,90.01358604761909,87.85032898740882,89.17028045654297,806855,0.0,0.0
2008-04-04,81.91053738473867,90.1235939534944,81.91053738473867,87.37368774414062,666635,0.0,0.0
2008-04-07,87.26368007600311,88.54696948888551,84.33044713227191,86.5670394897461,1110693,0.0,0.0
2008-04-08,86.53037184007032,88.656966843215,85.10042301788049,86.5670394897461,2256645,0.0,0.0
2008-04-09,86.53035892394917,88.36362924013453,85.6870534595645,88.07030487060547,2674058,0.0,0.0
2008-04-10,88.21697922707402,90.1235794395718,87.99698452787528,89.42693328857422,803475,0.0,0.0
2008-04-11,89.46361758064089,90.56358009187826,85.28376227581826,86.27372741699219,1269833,0.0,0.0
2008-04-15,86.5303712763503,86.5303712763503,84.69710069846151,84.99042510986328,6682340,0.0,0.0
2008-04-16,85.06374392982912,86.12703849107315,82.13051138052467,82.42383575439453,1607978,0.0,0.0
2008-04-17,82.86384222115086,84.29379124283994,82.49718805203072,82.93717193603516,6600201,0.0,0.0
2008-04-21,83.59717279887096,84.25715159780206,82.97386166448607,83.30384826660156,628564,0.0,0.0
2008-04-22,83.96380141184302,85.13709358774132,82.90050660127545,84.25712585449219,625780,0.0,0.0
2008-04-23,84.69712063806539,85.39376138378887,83.96381223427261,84.36713409423828,814685,0.0,0.0
2008-04-24,85.06376757176993,85.35709202716404,83.6704806046719,84.51378631591797,1562733,0.0,0.0
2008-04-25,84.40378936525886,85.43042216689085,82.97384033081698,84.66044616699219,1162556,0.0,0.0
2008-04-28,85.43042516542235,85.43042516542235,82.86384586860709,83.19383239746094,334050,0.0,0.0
2008-04-29,82.86383894793241,84.69710972111676,82.24052800398941,84.25712585449219,380693,0.0,0.0
2008-04-30,84.40377650507233,84.95375767985955,82.93716003897308,83.37714385986328,581918,0.0,0.0
2008-05-02,83.96377745771831,84.69708555778571,82.49716125758349,82.86381530761719,489236,0.0,0.0
2008-05-05,82.86381352829763,83.74378099160441,81.10387300698737,81.8371810913086,700321,0.0,0.0
2008-05-06,81.397227297261,82.79051428885656,81.06724077582727,81.6905517578125,548605,0.0,0.0
2008-05-07,82.13052515016798,82.46051162940998,80.26058684860192,81.72720336914062,644263,0.0,0.0
2008-05-08,82.13052480536848,82.46051128322513,80.04059739131432,81.91053009033203,354484,0.0,0.0
2008-05-09,81.39724128622883,81.91055498438823,79.74729720610257,80.33394622802734,882721,0.0,0.0
2008-05-12,80.04059739131432,82.57050864074334,79.38061884090301,81.91053009033203,896157,0.0,0.0
2008-05-13,82.09385997751237,82.82716825991872,80.37058663279707,81.87387084960938,745404,0.0,0.0
2008-05-14,81.87387118431752,82.05719825566857,80.07726252825832,80.26058959960938,634833,0.0,0.0
2008-05-15,80.44392701620723,82.49719271727226,79.56395919843591,81.98387908935547,1680274,0.0,0.0
2008-05-16,81.47055528930387,82.60718545187079,80.73724695079584,81.17723083496094,406079,0.0,0.0
2008-05-20,82.13053529036648,82.13053529036648,79.27063160328004,79.78395080566406,627829,0.0,0.0
2008-05-21,79.27061154171531,79.78393061419011,77.80399521126841,78.64730072021484,978601,0.0,0.0
2008-05-22,77.36400838149785,79.71059217983507,75.53073804070407,76.41070556640625,600569,0.0,0.0
2008-05-23,76.92404574361497,77.18070254287007,74.46746393126143,74.9074478149414,777931,0.0,0.0
2008-05-26,74.43081013019093,75.53077284147454,68.63767206515733,70.72760009765625,1834324,0.0,0.0
2008-05-27,71.86422768517224,73.11084980509646,70.17761602202822,71.68090057373047,1751297,0.0,0.0
2008-05-28,71.93754407231125,76.96070487549255,71.93754407231125,76.37406158447266,4496826,0.0,0.0
2008-05-29,76.99736995108897,77.65734852675223,70.10427095081374,71.53422546386719,2370238,0.0,0.0
2008-05-30,72.59751300988283,73.44081857287657,69.33429370337828,69.73760986328125,1701267,0.0,0.0
2008-06-02,68.45432773953507,70.94757704400033,66.84105173972135,67.31770324707031,1878398,0.0,0.0
2008-06-03,67.17104153110897,68.93098263214603,64.75112741254424,67.7576904296875,3114527,0.0,0.0
2008-06-04,67.64768502740877,67.6843526772269,63.50449235936503,64.23780059814453,3381452,0.0,0.0
2008-06-05,64.45780452652242,64.45780452652242,61.56123321225213,62.9178581237793,4535355,0.0,0.0
2008-06-06,63.72450878402454,64.16449275828425,62.33122153661899,62.62454605102539,1310959,0.0,0.0
2008-06-09,62.33119569005357,62.33119569005357,58.48132772096202,60.05794143676758,2964608,0.0,0.0
2008-06-10,60.13127885979507,60.68126006887856,58.737992011177255,60.387935638427734,1776371,0.0,0.0
2008-06-11,62.33119543145804,65.63108224841758,61.23123315913819,64.71444702148438,5886952,0.0,0.0
2008-06-12,64.12780874542881,64.5311305492409,61.2679108445734,62.99118423461914,2731058,0.0,0.0
2008-06-13,63.57784085599226,64.45781435943996,62.07456187898916,62.33121871948242,2406123,0.0,0.0
2008-06-16,62.51454583336325,63.724505903916636,62.184559266257565,62.33121871948242,2861819,0.0,0.0
2008-06-17,62.331192447283634,66.58438193450655,61.70788164175023,64.09113311767578,1999593,0.0,0.0
2008-06-18,64.567810191252,68.45434155507827,64.567810191252,66.47441101074219,6071348,0.0,0.0
2008-06-19,65.99775121022559,67.46436790378615,64.97111840579345,65.41110229492188,1369573,0.0,0.0
2008-06-20,66.18108811097986,66.51107467808555,61.927896831064785,62.33121871948242,1723605,0.0,0.0
2008-06-23,63.0645059177625,63.76114647781222,59.25130547224196,61.487892150878906,1396790,0.0,0.0
2008-06-24,61.597885699872165,62.33119386296588,58.77465039090082,59.2879638671875,1664567,0.0,0.0
2008-06-25,59.25129940140865,61.487885850887025,57.601356101681645,60.497920989990234,1688042,0.0,0.0
2008-06-26,60.68126706774331,65.2644443387209,59.58130452270869,64.67779541015625,3840562,0.0,0.0
2008-06-27,63.06451748134878,63.06451748134878,59.14131896627437,59.654632568359375,8122524,0.0,0.0
2008-06-30,59.654625039206564,60.71792535889334,54.04481580582545,55.694759368896484,2260723,0.0,0.0
2008-07-01,56.09809661238161,56.46475083860632,51.73491355818728,53.531517028808594,1437650,0.0,0.0
2008-07-02,53.53150995499967,57.12472201612433,52.541544793949704,55.51144027709961,2349419,0.0,0.0
2008-07-03,55.51142611054359,55.76808844524396,50.59826362009451,52.50486373901367,1660809,0.0,0.0
2008-07-04,52.651531084842965,55.25477184232417,52.10154993393457,54.85145568847656,1354996,0.0,0.0
2008-07-07,55.731428220536785,58.07801243404858,53.604833130024055,54.30147933959961,3754864,0.0,0.0
2008-07-08,54.11816107159806,54.77813414259154,51.51491406597185,54.41147994995117,1001777,0.0,0.0
2008-07-09,54.99810977651582,57.16136652317996,54.99810977651582,56.35472869873047,1542621,0.0,0.0
2008-07-10,56.098087561829786,58.7379964457997,56.098087561829786,58.26134490966797,2910358,0.0,0.0
2008-07-11,58.334682557701484,59.581304537844545,58.00469043728798,58.99465560913086,1991061,0.0,0.0
2008-07-14,58.66466987423781,61.23124918123571,57.56470731409585,60.13128662109375,1781153,0.0,0.0
2008-07-15,60.13129218102013,60.13129218102013,57.968034517265636,59.141326904296875,960772,0.0,0.0
2008-07-16,59.03132025381044,60.497936906079026,57.344708865822156,59.80129623413086,1535279,0.0,0.0
2008-07-17,60.13128662109376,61.5979033679497,59.06799171750275,60.13128662109375,983486,0.0,0.0
2008-07-18,60.131273623858334,61.19456829762066,58.44466249165153,60.79125213623047,523641,0.0,0.0
2008-07-21,60.204614194468924,62.03788506272132,58.37134332621653,59.47130584716797,1463629,0.0,0.0
2008-07-22,60.09462047066471,60.864596519941166,58.29801714861835,59.397979736328125,1163231,0.0,0.0
2008-07-23,61.59789298073011,62.25787152446323,59.54462764349326,61.67122268676758,1424449,0.0,0.0
2008-07-24,62.3312096274057,64.09115078288396,60.16795223703992,60.97459030151367,1379735,0.0,0.0
2008-07-25,60.79126048103529,62.62453127000077,57.19804861572324,60.42460632324219,2158165,0.0,0.0
2008-07-28,60.71793555771569,61.19458152468476,59.83796215278279,60.13128662109375,630824,0.0,0.0
2008-07-29,58.77466251961399,60.057952069847055,57.9680244926929,58.334678649902344,324821,0.0,0.0
2008-07-30,57.931361500809835,61.52457364954668,56.13475822379086,60.13128662109375,765707,0.0,0.0
2008-07-31,59.9846248905409,61.67123072811193,58.737997346563695,59.727962493896484,2852815,0.0,0.0
