Date,open,high,low,close,volume,dividends,stock splits
2007-12-03,430.71060649648814,441.71844127026907,428.6027387861771,431.3078308105469,1746975,0.0,0.0
2007-12-04,435.62900250723084,451.48496184898244,432.3969192819141,436.2262268066406,2275899,0.0,0.0
2007-12-05,436.22628429846765,449.2131626731789,436.22628429846765,443.66241455078125,1470962,0.0,0.0
2007-12-06,444.99739837502005,461.3686121203915,444.99739837502005,455.2440185546875,1892253,0.0,0.0
2007-12-07,459.04997605390145,461.8604666292547,449.4473854126128,453.1712951660156,1200113,0.0,0.0
2007-12-10,456.7079236177368,459.98681333587797,449.9158229676582,456.8367004394531,555847,0.0,0.0
2007-12-11,454.36562071342064,463.4997603326733,454.36562071342064,459.29571533203125,583649,0.0,0.0
2007-12-12,461.39198333528554,461.39198333528554,449.9157019403495,459.38946533203125,627257,0.0,0.0
2007-12-13,461.39201988229246,461.39201988229246,454.36574546784135,455.2557373046875,794750,0.0,0.0
2007-12-14,455.53684082064336,456.7079110991897,448.1007101499008,450.1031799316406,733690,0.0,0.0
2007-12-17,446.3207231574704,451.7426460319137,435.6290814759444,438.8377380371094,759956,0.0,0.0
2007-12-18,443.59213119772704,447.2926624027907,429.77380471134626,443.82635498046875,702566,0.0,0.0
2007-12-19,450.61841027638803,453.1947257931998,436.8000836690605,438.7791748046875,580324,0.0,0.0
2007-12-20,444.7514162385052,444.7514162385052,435.62901212015424,437.490966796875,637745,0.0,0.0
2007-12-24,443.8263239626707,446.63686304325375,437.04596235646454,439.1889953613281,854119,0.0,0.0
2007-12-26,444.99736265143065,447.29259954278314,440.07895613685355,444.0605163574219,867547,0.0,0.0
2007-12-27,447.105217331789,447.339441074829,442.44446194756625,443.1236572265625,847053,0.0,0.0
2007-12-28,444.99734396172624,445.8873357273323,437.03422385503734,442.5381164550781,644235,0.0,0.0
2007-12-31,445.46578217535165,449.9157413973553,442.18684434638294,442.72552490234375,408027,0.0,0.0
2008-01-01,446.8242147269143,454.13156814002,441.71848694255857,449.8455505371094,544777,0.0,0.0
2008-01-02,447.5736870205135,455.5251192209201,442.6553285745057,449.17803955078125,598331,0.0,0.0
2008-01-03,450.852681846842,454.2955624154035,440.5474673926498,445.0325927734375,732927,0.0,0.0
2008-01-04,447.33947129267113,462.44595398602746,447.33947129267113,458.6634521484375,1662798,0.0,0.0
2008-01-07,459.04994794047064,480.8313946814021,452.0236732270961,474.2500915527344,1770587,0.0,0.0
2008-01-08,480.12878512845305,486.66318523460245,466.3104103895845,469.238037109375,1485231,0.0,0.0
2008-01-09,466.07616240263394,490.9023201061384,462.65671012494147,479.12158203125,1305997,0.0,0.0
2008-01-10,477.7866307943524,488.0917936707821,467.2471954683021,469.3902282714844,961128,0.0,0.0
2008-01-11,470.7603853559232,477.3182122471577,461.3920194781934,471.954833984375,755285,0.0,0.0
2008-01-14,475.0300795391553,482.0731959096312,466.8228585854075,469.6565856933594,543911,2.4,0.0
2008-01-15,472.6784680247191,475.50040946635556,457.40460727400676,461.19073486328125,889145,0.0,0.0
2008-01-16,460.8497841958355,460.8497841958355,439.75564224713713,451.16107177734375,1170273,0.0,0.0
2008-01-17,451.7489602600294,476.1589238163497,447.0456911867066,469.48028564453125,927060,0.0,0.0
2008-01-18,475.970730785795,475.970730785795,453.86540806519855,457.43988037109375,1327367,0.0,0.0
2008-01-21,458.5686907487063,460.9203250602381,418.82603665119797,429.2908020019531,1617221,0.0,0.0
2008-01-22,412.0652008984224,427.9975556073104,388.0197374998044,418.0501403808594,1571149,0.0,0.0
2008-01-23,435.05240459445895,446.3402214254707,399.77786085114144,419.29644775390625,2477409,0.0,0.0
2008-01-24,423.2942402224726,427.57419869078007,383.32818776833585,392.49957275390625,1557401,0.0,0.0
2008-01-25,404.64567295146566,423.2941612415947,404.64567295146566,417.96771240234375,671874,0.0,0.0
2008-01-28,411.5359526977074,413.3937078701574,388.2547661643468,409.60760498046875,671111,0.0,0.0
2008-01-29,417.8854427196395,429.7964390647553,409.4195441082492,417.2857360839844,265206,0.0,0.0
2008-01-30,422.58864436267487,422.82377353544064,400.248096399471,408.00848388671875,555557,0.0,0.0
2008-01-31,402.36460267326646,427.76224719553613,388.0078580026425,393.2402648925781,2109262,0.0,0.0
2008-02-01,399.7777884425611,405.65687392630275,372.73399521734956,382.5638427734375,1593558,0.0,0.0
2008-02-04,390.37128589613127,408.0085438937821,384.7273780080066,386.7380065917969,1919071,0.0,0.0
2008-02-05,388.0196241643345,395.75651399832856,385.93842762269253,389.806884765625,2070819,0.0,0.0
2008-02-06,376.5319276542656,385.66802779499835,376.26148993531854,380.45916748046875,1440570,0.0,0.0
2008-02-07,393.89869685348174,394.83936029704853,368.3129201590361,372.6399230957031,1054062,0.0,0.0
2008-02-08,379.08339724185674,380.7295460017241,364.50326093596925,367.40753173828125,833227,0.0,0.0
2008-02-11,370.38239905112704,370.38239905112704,317.99976279693766,350.4405517578125,1127026,0.0,0.0
2008-02-12,355.09673678364084,357.44837096400846,346.8660171523542,348.6650390625,705002,0.0,0.0
2008-02-13,352.7450745261958,357.44834251257004,342.39789962729367,345.61962890625,637571,0.0,0.0
2008-02-14,356.27256873394737,369.2065572654457,352.745117316266,365.5144958496094,930239,0.0,0.0
2008-02-15,370.3824232316932,371.5582405259268,357.6836111250957,367.7015686035156,682440,0.0,0.0
2008-02-18,373.4396237940071,384.9626203354335,369.3242504207275,376.2615661621094,1423401,0.0,0.0
2008-02-19,384.49217238075437,385.6679894964505,376.5906970124739,380.3533020019531,595264,0.0,0.0
2008-02-20,378.6130897778537,380.94122577961366,369.20655277835743,371.2054443359375,814675,0.0,0.0
2008-02-21,376.26154315553777,376.26154315553777,362.38691252114046,367.33709716796875,1119983,0.0,0.0
2008-02-22,368.03077017313456,371.55822187880557,357.4484150561216,368.80682373046875,1985149,0.0,0.0
2008-02-25,371.5582369504616,378.3779869721403,370.1472659917088,375.79119873046875,1769326,0.0,0.0
2008-02-26,379.76542131041185,384.4921882157943,376.320274818868,379.0011291503906,2337289,0.0,0.0
2008-02-27,383.42217863869854,400.8830638324847,383.42217863869854,393.2402648925781,3620221,0.0,0.0
2008-02-28,398.46087394600977,405.7391686307756,393.89869296752363,402.64678955078125,5271360,0.0,0.0
2008-02-29,402.1294680180062,402.1294680180062,378.61312342912436,384.28057861328125,2779516,0.0,2.0
2008-03-03,384.2805413830714,384.2805413830714,340.9869390511129,355.9903869628906,724106,0.0,0.0
2008-03-04,368.1953607260476,368.1953607260476,343.4561563323365,351.0049133300781,902258,0.0,0.0
2008-03-05,349.21766236058846,356.5077432210621,338.00036647696896,341.9040832519531,1103723,0.0,0.0
2008-03-07,336.7539787703127,337.553530440645,311.35633574180713,322.385498046875,1364127,0.0,0.0
2008-03-10,322.17384252643524,328.14699403096904,295.3887515485983,309.1693115234375,1091501,0.0,0.0
2008-03-11,302.96103797967606,331.5804133589966,302.96103797967606,327.6531982421875,1412667,0.0,0.0
2008-03-12,348.2300107908873,348.2300107908873,315.11899540500025,322.5031433105469,1525704,0.0,0.0
2008-03-13,315.11899998608385,318.8816298743778,300.11557474184474,303.9017028808594,1296851,0.0,0.0
2008-03-14,306.46494402689103,317.89389473241283,294.8949060320087,313.8725891113281,926672,0.0,0.0
2008-03-17,293.95428286232124,305.712455154889,290.0270674986901,293.7896728515625,842876,0.0,0.0
2008-03-18,298.6575632185824,313.23770231019216,285.488419527249,308.2757568359375,1315798,0.0,0.0
