,symbol,name,sector,industry
0,ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery
1,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal
2,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping
3,AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,Building Materials
4,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities
5,ASIANPAINT.NS,Asian Paints Limited,Basic Materials,Specialty Chemicals
6,AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional
7,BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers
8,BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services
9,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates
10,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,Asset Management
11,BANKBARODA.NS,Bank of Baroda Limited,Financial Services,Banks - Regional
12,BEL.NS,Bharat Electronics Limited,Industrials,Aerospace & Defense
13,BPCL.NS,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
14,BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services
15,BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,Auto Parts
16,BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,Packaged Foods
17,CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts
18,CANBK.NS,Canara Bank,Financial Services,Banks - Regional
19,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services
20,CIPLA.NS,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic
21,CUMMINSIND.NS,Cummins India Limited,Industrials,Specialty Industrial Machinery
22,DLF.NS,DLF Limited,Real Estate,Real Estate - Development
23,DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
24,DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
25,EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers
26,GAIL.NS,GAIL (India) Limited,Utilities,Utilities - Regulated Gas
27,GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products
28,GRASIM.NS,Grasim Industries Limited,Basic Materials,Building Materials
29,HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services
30,HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional
31,HINDALCO.NS,Hindalco Industries Limited,Basic Materials,Aluminum
32,HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products
33,HINDZINC.NS,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining
34,ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional
35,ITC.NS,ITC Limited,Consumer Defensive,Tobacco
36,INDHOTEL.NS,The Indian Hotels Company Limited,Consumer Cyclical,Lodging
37,IOC.NS,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing
38,INFY.NS,Infosys Limited,Technology,Information Technology Services
39,JSWSTEEL.NS,JSW Steel Limited,Basic Materials,Steel
40,JINDALSTEL.NS,Jindal Steel Limited,Basic Materials,Steel
41,KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional
42,LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction
43,M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers
44,MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers
45,NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric
46,NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,Packaged Foods
47,ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated
48,PIDILITIND.NS,Pidilite Industries Limited,Basic Materials,Specialty Chemicals
49,PFC.NS,Power Finance Corporation Limited,Financial Services,Credit Services
50,POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric
51,PNB.NS,Punjab National Bank,Financial Services,Banks - Regional
52,RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing
53,MOTHERSON.NS,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts
54,SHREECEM.NS,Shree Cement Limited,Basic Materials,Building Materials
55,SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,Credit Services
56,SIEMENS.NS,Siemens Limited,Industrials,Specialty Industrial Machinery
57,SOLARINDS.NS,Solar Industries India Limited,Basic Materials,Specialty Chemicals
58,SBIN.NS,State Bank of India,Financial Services,Banks - Regional
59,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic
60,TVSMOTOR.NS,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers
61,TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services
62,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods
63,TATAPOWER.NS,The Tata Power Company Limited,Utilities,Utilities - Independent Power Producers
64,TATASTEEL.NS,Tata Steel Limited,Basic Materials,Steel
65,TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services
66,TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods
67,TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
68,TRENT.NS,Trent Limited,Consumer Cyclical,Apparel Retail
69,ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,Building Materials
70,UNIONBANK.NS,Union Bank of India,Financial Services,Banks - Regional
71,UNITDSPR.NS,N/A,Consumer Defensive,Beverages - Wineries & Distilleries
72,VEDL.NS,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining
73,WIPRO.NS,Wipro Limited,Technology,Information Technology Services
74,ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic
75,BANKINDIA.NS,Bank of India Limited,Financial Services,Banks - Regional
76,BHEL.NS,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery
77,CONCOR.NS,Container Corporation of India Limited,Industrials,Railroads
